date,close
2017-08-09,161.06
2017-08-08,160.08
2017-08-07,158.81
2017-08-04,156.39
2017-08-03,155.57
2017-08-02,157.14
2017-08-01,150.05
2017-07-31,148.73
2017-07-28,149.5
2017-07-27,150.56
2017-07-26,153.46
2017-07-25,152.74
2017-07-24,152.09
2017-07-21,150.27
2017-07-20,150.34
2017-07-19,151.02
2017-07-18,150.08
2017-07-17,149.56
2017-07-14,149.04
2017-07-13,147.77
2017-07-12,145.74
2017-07-11,145.53
2017-07-10,145.06
2017-07-07,144.18
2017-07-06,142.73
2017-07-05,144.09
2017-07-03,143.5
2017-06-30,144.02
2017-06-29,143.68
2017-06-28,145.83
2017-06-27,143.73
2017-06-26,145.82
2017-06-23,146.28
2017-06-22,145.63
2017-06-21,145.87
2017-06-20,145.01
2017-06-19,146.34
2017-06-16,142.27
2017-06-15,144.29
2017-06-14,145.16
2017-06-13,146.59
2017-06-12,145.42
2017-06-09,148.98
2017-06-08,154.99
2017-06-07,155.37
2017-06-06,154.45
2017-06-05,153.93
2017-06-02,155.45
2017-06-01,153.18
2017-05-31,152.76
2017-05-30,153.67
2017-05-26,153.61
2017-05-25,153.87
2017-05-24,153.34
2017-05-23,153.8
2017-05-22,153.99
2017-05-19,153.06
2017-05-18,152.54
2017-05-17,150.25
2017-05-16,155.47
2017-05-15,155.7
2017-05-12,156.1
2017-05-11,153.95
2017-05-10,153.26
2017-05-09,153.99
